"","good_list"
"1","John Wall"
"2","Kyrie Irving"
"3","Anthony Davis"
"4","Karl-Anthony Towns"
"5","Ben Simmons"
"6","Zion Williamson"
"7","Anthony Edwards"
"8","D'Angelo Russell"
"9","Brandon Ingram"
"10","Lonzo Ball"
"11","Ja Morant"
"12","Chet Holmgren"
"13","Bradley Beal"
"14","Joel Embiid"
"15","Jayson Tatum"
"16","Evan Mobley"
"17","Aaron Gordon"
"18","Jaren Jackson Jr."
"19","Scottie Barnes"
"20","Keegan Murray"
"21","DeMarcus Cousins"
"22","De'Aaron Fox"
"23","Trae Young"
"24","Damian Lillard"
"25","Nerlens Noel"
"26","Marcus Smart"
"27","Buddy Hield"
"28","Onyeka Okongwu"
"29","Julius Randle"
"30","Jamal Murray"
"31","Lauri Markkanen"
"32","Al-Farouq Aminu"
"33","Kentavious Caldwell-Pope"
"34","Franz Wagner"
"35","Gordon Hayward"
"36","Kemba Walker"
"37","Andre Drummond"
"38","Trey Burke"
"39","Jakob Poeltl"
"40","Paul George"
"41","CJ McCollum"
"42","Elfrid Payton"
"43","Mikal Bridges"
"44","Jalen Smith"
"45","Klay Thompson"
"46","Myles Turner"
"47","Domantas Sabonis"
"48","Shai Gilgeous-Alexander"
"49","Steven Adams"
"50","Miles Bridges"
"51","Tyrese Haliburton"
"52","Jalen Williams"
"53","Dereck Lively II"
"54","Ed Davis"
"55","Kelly Olynyk"
"56","Zach LaVine"
"57","Devin Booker"
"58","Donovan Mitchell"
"59","Tyler Herro"
"60","Jalen Duren"
"61","Marcus Morris"
"62","T.J. Warren"
"63","Cameron Payne"
"64","Bam Adebayo"
